Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Oslo - Blindern;SN18700;01.01.2025 01:00;-3,5
Oslo - Blindern;SN18700;01.01.2025 02:00;-3,7
Oslo - Blindern;SN18700;01.01.2025 03:00;-4,2
Oslo - Blindern;SN18700;01.01.2025 04:00;-4
Oslo - Blindern;SN18700;01.01.2025 05:00;-4,2
Oslo - Blindern;SN18700;01.01.2025 06:00;-4,5
Oslo - Blindern;SN18700;01.01.2025 07:00;-4,8
Oslo - Blindern;SN18700;01.01.2025 08:00;-4,8
Oslo - Blindern;SN18700;01.01.2025 09:00;-5,2
Oslo - Blindern;SN18700;01.01.2025 10:00;-4,8
Oslo - Blindern;SN18700;01.01.2025 11:00;-4,6
Oslo - Blindern;SN18700;01.01.2025 12:00;-4,2
Oslo - Blindern;SN18700;01.01.2025 13:00;-4,3
Oslo - Blindern;SN18700;01.01.2025 14:00;-4,7
Oslo - Blindern;SN18700;01.01.2025 15:00;-4,6
Oslo - Blindern;SN18700;01.01.2025 16:00;-4,4
Oslo - Blindern;SN18700;01.01.2025 17:00;-4,6
Oslo - Blindern;SN18700;01.01.2025 18:00;-4,8
Oslo - Blindern;SN18700;01.01.2025 19:00;-5,1
Oslo - Blindern;SN18700;01.01.2025 20:00;-5,1
Oslo - Blindern;SN18700;01.01.2025 21:00;-4,9
Oslo - Blindern;SN18700;01.01.2025 22:00;-5,3
Oslo - Blindern;SN18700;01.01.2025 23:00;-5,7
Oslo - Blindern;SN18700;02.01.2025 00:00;-5,8
Oslo - Blindern;SN18700;02.01.2025 01:00;-6,2
Oslo - Blindern;SN18700;02.01.2025 02:00;-5,9
Oslo - Blindern;SN18700;02.01.2025 03:00;-6,4
Oslo - Blindern;SN18700;02.01.2025 04:00;-6,5
Oslo - Blindern;SN18700;02.01.2025 05:00;-8,1
Oslo - Blindern;SN18700;02.01.2025 06:00;-8,8
Oslo - Blindern;SN18700;02.01.2025 07:00;-9,5
Oslo - Blindern;SN18700;02.01.2025 08:00;-9,6
Oslo - Blindern;SN18700;02.01.2025 09:00;-9,1
Oslo - Blindern;SN18700;02.01.2025 10:00;-9,6
Oslo - Blindern;SN18700;02.01.2025 11:00;-8,3
Oslo - Blindern;SN18700;02.01.2025 12:00;-6,6
Oslo - Blindern;SN18700;02.01.2025 13:00;-5,2
Oslo - Blindern;SN18700;02.01.2025 14:00;-5,4
Oslo - Blindern;SN18700;02.01.2025 15:00;-5,5
Oslo - Blindern;SN18700;02.01.2025 16:00;-6,7
Oslo - Blindern;SN18700;02.01.2025 17:00;-6,7
Oslo - Blindern;SN18700;02.01.2025 18:00;-4,8
Oslo - Blindern;SN18700;02.01.2025 19:00;-3,3
Oslo - Blindern;SN18700;02.01.2025 20:00;-3,9
Oslo - Blindern;SN18700;02.01.2025 21:00;-5,5
Oslo - Blindern;SN18700;02.01.2025 22:00;-8
Oslo - Blindern;SN18700;02.01.2025 23:00;-9,3
Oslo - Blindern;SN18700;03.01.2025 00:00;-8,4
Oslo - Blindern;SN18700;03.01.2025 01:00;-7,8
Oslo - Blindern;SN18700;03.01.2025 02:00;-6,9
Oslo - Blindern;SN18700;03.01.2025 03:00;-4,4
Oslo - Blindern;SN18700;03.01.2025 04:00;-6,1
Oslo - Blindern;SN18700;03.01.2025 05:00;-7,7
Oslo - Blindern;SN18700;03.01.2025 06:00;-8,4
Oslo - Blindern;SN18700;03.01.2025 07:00;-6
Oslo - Blindern;SN18700;03.01.2025 08:00;-6,7
Oslo - Blindern;SN18700;03.01.2025 09:00;-7
Oslo - Blindern;SN18700;03.01.2025 10:00;-6,5
Oslo - Blindern;SN18700;03.01.2025 11:00;-2,3
Oslo - Blindern;SN18700;03.01.2025 12:00;-1,8
Oslo - Blindern;SN18700;03.01.2025 13:00;-3,1
Oslo - Blindern;SN18700;03.01.2025 14:00;-3
Oslo - Blindern;SN18700;03.01.2025 15:00;-3,4
Oslo - Blindern;SN18700;03.01.2025 16:00;-3,6
Oslo - Blindern;SN18700;03.01.2025 17:00;-4,1
Oslo - Blindern;SN18700;03.01.2025 18:00;-5,9
Oslo - Blindern;SN18700;03.01.2025 19:00;-8,2
Oslo - Blindern;SN18700;03.01.2025 20:00;-7
Oslo - Blindern;SN18700;03.01.2025 21:00;-8,6
Oslo - Blindern;SN18700;03.01.2025 22:00;-10,1
Oslo - Blindern;SN18700;03.01.2025 23:00;-10,9
Oslo - Blindern;SN18700;04.01.2025 00:00;-11,6
Oslo - Blindern;SN18700;04.01.2025 01:00;-12,4
Oslo - Blindern;SN18700;04.01.2025 02:00;-12
Oslo - Blindern;SN18700;04.01.2025 03:00;-11,9
