"","time","AvgTempNO1","Price_NOK","Energy","demand","HDH","price_lag1","price_lag2","price_lag24","price_lag168","HDH_lag24","demand_lag24","supply_lag168","hour","weekday","month","dummy_hour","dummy_weekday","dummy_month"
"1",2025-01-01 02:00:00,-4.12,222.6208,4083140,5040.89,22.12,NA,NA,NA,NA,NA,NA,NA,2,3,1,"2","3","1"
"2",2025-01-01 03:00:00,-4.36,151.9568,4083140,4998.34,22.36,222.6208,NA,NA,NA,NA,NA,NA,3,3,1,"3","3","1"
"3",2025-01-01 04:00:00,-4.52,157.5632,4083140,4962.98,22.52,151.9568,222.6208,NA,NA,NA,NA,NA,4,3,1,"4","3","1"
"4",2025-01-01 05:00:00,-4.74,169.2432,4083140,4946.87,22.74,157.5632,151.9568,NA,NA,NA,NA,NA,5,3,1,"5","3","1"
"5",2025-01-01 06:00:00,-4.94,53.4944,4083140,4997.93,22.94,169.2432,157.5632,NA,NA,NA,NA,NA,6,3,1,"6","3","1"
"6",2025-01-01 07:00:00,-5,250.6528,4083140,5138.6,23,53.4944,169.2432,NA,NA,NA,NA,NA,7,3,1,"7","3","1"
"7",2025-01-01 08:00:00,-5.1,261.632,4083140,5230.2,23.1,250.6528,53.4944,NA,NA,NA,NA,NA,8,3,1,"8","3","1"
"8",2025-01-01 09:00:00,-5.22,264.4352,4083140,5357.86,23.22,261.632,250.6528,NA,NA,NA,NA,NA,9,3,1,"9","3","1"
"9",2025-01-01 10:00:00,-5.14,287.7952,4083140,5424.45,23.14,264.4352,261.632,NA,NA,NA,NA,NA,10,3,1,"10","3","1"
"10",2025-01-01 11:00:00,-5.1,326.456,4083140,5555.03,23.1,287.7952,264.4352,NA,NA,NA,NA,NA,11,3,1,"11","3","1"
"11",2025-01-01 12:00:00,-5.1,327.1568,4083140,5689.4,23.1,326.456,287.7952,NA,NA,NA,NA,NA,12,3,1,"12","3","1"
"12",2025-01-01 13:00:00,-5.02,316.7616,4083140,5844.22,23.02,327.1568,326.456,NA,NA,NA,NA,NA,13,3,1,"13","3","1"
"13",2025-01-01 14:00:00,-5.18,313.7248,4083140,5886.31,23.18,316.7616,327.1568,NA,NA,NA,NA,NA,14,3,1,"14","3","1"
"14",2025-01-01 15:00:00,-5.26,311.272,4083140,5953.58,23.26,313.7248,316.7616,NA,NA,NA,NA,NA,15,3,1,"15","3","1"
"15",2025-01-01 16:00:00,-5.26,318.7472,4083140,6081.01,23.26,311.272,313.7248,NA,NA,NA,NA,NA,16,3,1,"16","3","1"
"16",2025-01-01 17:00:00,-5.52,324.0032,4083140,6210.96,23.52,318.7472,311.272,NA,NA,NA,NA,NA,17,3,1,"17","3","1"
"17",2025-01-01 18:00:00,-5.66,330.1936,4083140,6191.14,23.66,324.0032,318.7472,NA,NA,NA,NA,NA,18,3,1,"18","3","1"
"18",2025-01-01 19:00:00,-5.8,319.6816,4083140,6193.6,23.8,330.1936,324.0032,NA,NA,NA,NA,NA,19,3,1,"19","3","1"
